Header,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
21.515,3.67805229,-0.51688912,102.81656206,0.36922776,0.96881688,-5.01317563,14.15231146,-0.06912591,-14.54129137,-24.62610502,16.69663278,-1.54676611,0,20.29465933,-1.98730648,-5.8986906,-67.97513687,2.170545,-17.22985874,0,0,0,0
21.52,3.65108141,-0.47910969,102.59542905,0.36743777,0.97048656,-5.02128411,13.16556296,0.00828466,-14.61163237,-23.80943251,16.68529265,-1.3051931,0,21.05988059,-1.80114022,-6.11414719,-67.234592,2.82834222,-16.68293904,0,0,0,0
21.525,3.62493964,-0.4280155,102.36267589,0.36564751,0.97207488,-5.029414,12.16868365,0.08110195,-14.70122058,-22.99801151,16.66807391,-1.03408607,0,21.76538835,-1.6291521,-6.34108106,-66.38039219,3.45225029,-16.18078525,0,0,0,0
21.53,3.6255077,-0.38740559,102.11885326,0.36389045,0.973542,-5.03754991,11.18998749,0.1776436,-14.7941152,-22.18142959,16.62724524,-0.75392542,0,22.45261791,-1.50169125,-6.5784331,-65.43107615,4.01976996,-15.70590704,0,0,0,0
21.535,3.62965161,-0.33513377,101.86313801,0.36214023,0.97491108,-5.04570529,10.20637677,0.27330704,-14.89644751,-21.37577153,16.58308603,-0.45440407,0,23.08419471,-1.39175205,-6.82534524,-64.37787306,4.54835202,-15.28462265,0,0,0,0
21.54,3.64441347,-0.27802485,101.5964118,0.36040435,0.97616826,-5.05387467,9.22817276,0.37334786,-15.00894566,-20.58377097,16.53378946,-0.12991645,0,23.67215557,-1.30533493,-7.07720884,-63.22891333,5.03565077,-14.90868703,0,0,0,0
21.545,3.65551311,-0.21571113,101.31965294,0.35865745,0.97731048,-5.06205233,8.25974497,0.4539218,-15.15429772,-19.82361239,16.48877968,0.24823365,0,24.20946501,-1.22246548,-7.33365142,-61.97994621,5.49091091,-14.57395699,0,0,0,0
21.55,3.7100086,-0.15381577,101.0310816,0.35697002,0.97832129,-5.0702397,7.30071998,0.5855334,-15.26313812,-19.05600402,16.42732671,0.60661966,0,24.72605688,-1.20723681,-7.59359687,-60.65847295,5.87951845,-14.2659594,0,0,0,0
21.555,3.74333296,-0.08873116,100.72718157,0.35524627,0.97920955,-5.0784274,6.36366174,0.66280126,-15.45072979,-18.35221362,16.39302822,1.10220238,0,25.18874664,-1.17209669,-7.86001797,-59.23897432,6.22599589,-13.98383724,0,0,0,0
21.56,3.81333206,-0.01990724,100.41777486,0.35356511,0.97996019,-5.08662305,5.43363165,0.78560952,-15.58517819,-17.65027585,16.34358915,1.53353144,0,25.6233142,-1.18813723,-8.11263214,-57.75169698,6.55029944,-13.69820687,0,0,0,0
21.565,3.9123386,0.05300073,100.10138681,0.35192734,0.98057867,-5.09482349,4.5072205,0.94828192,-15.64625026,-16.94729391,16.2820701,1.86925169,0,26.02843849,-1.24897792,-8.35530243,-56.19897372,6.82518801,-13.3857142,0,0,0,0
21.57,3.98639813,0.13031513,99.78216169,0.3502426,0.98106685,-5.1030293,3.60711174,1.04278729,-15.83150826,-16.32848517,16.26333636,2.41226154,0,26.38002558,-1.28345895,-8.59343761,-54.55933833,7.06337263,-13.0511426,0,0,0,0
21.575,4.10967153,0.21682734,99.44531269,0.34863013,0.98141132,-5.11124087,2.70306661,1.21251738,-15.86491221,-15.69262914,16.22161272,2.76705479,0,26.70532054,-1.38837747,-8.8186495,-52.87387988,7.27704807,-12.67365917,0,0,0,0
21.58,4.21620547,0.30549674,99.11868827,0.3469742,0.9816169,-5.11946343,1.82549812,1.32405168,-16.03765549,-15.13612518,16.22242046,3.32710696,0,26.98787093,-1.47253708,-9.02391192,-51.11670679,7.43616059,-12.247738,0,0,0,0
21.585,4.35059185,0.40507824,98.775485,0.34536161,0.98167732,-5.12769629,0.95143816,1.46902128,-16.12303678,-14.59831681,16.22609735,3.81684681,0,27.23441353,-1.59967898,-9.21584397,-49.31443436,7.58639351,-11.77577673,0,0,0,0
21.59,4.50041568,0.5163401,98.42704875,0.34378132,0.98160484,-5.13594777,0.07272527,1.63838703,-16.10284742,-14.07282262,16.24438046,4.17301731,0,27.44245801,-1.75709216,-9.39725347,-47.46885301,7.68481369,-11.23609954,0,0,0,0
21.595,4.65556765,0.63196097,98.09616364,0.34217221,0.98137903,-5.14421754,-0.7832188,1.77629525,-16.23519674,-13.61783549,16.29667934,4.74596603,0,27.62079437,-1.91588087,-9.54171376,-45.58280478,7.73464923,-10.65007263,0,0,0,0
21.6,4.81816656,0.76249324,97.73557312,0.3406095,0.98102991,-5.15250382,-1.64781958,1.93617817,-16.1723585,-13.17167249,16.36142467,5.10278042,0,27.75121831,-2.10297631,-9.69446496,-43.65843123,7.75502748,-10.04762789,0,0,0,0
21.605,4.99705862,0.8984938,97.41263481,0.33902159,0.98053045,-5.16081843,-2.49944187,2.08910418,-16.23337746,-12.77637107,16.43852632,5.59178934,0,27.86067153,-2.30022297,-9.79482673,-41.71368332,7.72380212,-9.38193706,0,0,0,0
21.61,5.18053492,1.05124116,97.04915987,0.33746949,0.9799067,-5.16914498,-3.35331243,2.24315857,-16.15941986,-12.41278082,16.56510699,5.99648101,0,27.92465859,-2.5261434,-9.91752898,-39.74863013,7.63311195,-8.77790612,0,0,0,0
21.615,5.3769912,1.19885417,96.70627388,0.33589945,0.97912556,-5.17749021,-4.16868941,2.3720888,-16.24958909,-12.12936901,16.71855169,6.62496915,0,27.9812159,-2.76687707,-10.01258386,-37.77950374,7.47924251,-8.15390565,0,0,0,0
21.62,5.58438951,1.36318378,96.36096883,0.33434955,0.97823299,-5.18586399,-5.00542491,2.52375554,-16.19540358,-11.84059061,16.87377195,7.0604068,0,28.00221015,-3.03019824,-10.09884017,-35.80829415,7.27231411,-7.59009981,0,0,0,0
