Time,IMU_SHIN_L_YAW,IMU_SHIN_L_PITCH,IMU_SHIN_L_ROLL,IMU_SHIN_R_YAW,IMU_SHIN_R_PITCH,IMU_SHIN_R_ROLL,
12.61,0.00,0.02,-4.76,0.00,-0.12,-1.92,
12.62,0.00,0.02,-4.76,0.00,-0.12,-1.92,
12.63,0.00,0.02,-4.76,0.00,-0.12,-1.92,
12.64,0.00,0.02,-4.76,0.00,-0.12,-1.92,
12.65,0.00,0.02,-4.76,0.00,-0.12,-1.92,
12.66,0.00,0.02,-4.75,0.00,-0.12,-1.92,
12.67,0.00,0.02,-4.75,0.00,-0.12,-1.92,
12.68,0.00,0.02,-4.75,0.00,-0.12,-1.92,
12.69,0.00,0.02,-4.75,0.00,-0.12,-1.92,
12.70,0.00,0.02,-4.75,0.00,-0.12,-1.92,
12.71,0.00,0.02,-4.75,0.00,-0.12,-1.92,
12.72,0.00,0.02,-4.75,0.00,-0.12,-1.92,
12.73,0.00,0.02,-4.75,0.00,-0.12,-1.92,
12.74,0.00,0.02,-4.75,0.00,-0.12,-1.92,
12.75,0.00,0.02,-4.75,0.00,-0.12,-1.92,
12.76,0.00,0.02,-4.75,0.00,-0.12,-1.92,
12.77,0.00,0.02,-4.75,0.00,-0.12,-1.92,
12.78,0.00,0.02,-4.75,0.00,-0.12,-1.92,
12.79,0.00,0.02,-4.75,0.00,-0.12,-1.92,
12.80,0.00,0.02,-4.75,0.00,-0.12,-1.92,
12.81,0.00,0.02,-4.74,0.00,-0.12,-1.92,
12.82,0.00,0.02,-4.74,0.00,-0.12,-1.92,
12.83,0.00,0.02,-4.74,0.00,-0.12,-1.92,
12.84,0.00,0.03,-4.74,0.00,-0.12,-1.92,
12.85,0.00,0.03,-4.74,0.00,-0.12,-1.92,
12.86,0.00,0.03,-4.74,0.00,-0.12,-1.92,
12.87,0.00,0.03,-4.74,0.00,-0.12,-1.92,
12.88,0.00,0.03,-4.74,0.00,-0.12,-1.91,
12.89,0.00,0.03,-4.74,0.00,-0.12,-1.91,
12.90,0.00,0.03,-4.74,0.00,-0.12,-1.91,
